iteration,mean,std,low,up
0,-0.2632538718880163,0.8955886974785491,-1.3752741147453351,0.8487663709693024
100,0.24955595873150824,1.2282326426534864,-1.2754962950699977,1.774608212533014
200,0.9040458804534304,2.4779675904824643,-2.17275726536438,3.9808490262712404
300,3.528769974887548,6.474401427646918,-4.510261187740698,11.567801137515794
400,7.736985269654554,11.891718448525236,-7.028533404654782,22.502503943963887
500,11.7236419611261,16.87064831908689,-9.224034683040978,32.67131860529318
600,15.289874011981931,21.2245596091601,-11.063897532441972,41.643645556405836
700,18.39903768714456,24.12233189868603,-11.552793384176194,48.35086875846531
800,22.29485772943169,25.70086146405847,-9.616976673312259,54.20669213217564
900,26.05357115675033,26.670237274390878,-7.0619022904129665,59.169044603913626
1000,30.076054911292676,26.641672274430064,-3.003950403810588,63.15606022639594
1100,34.08409259942066,26.57035303717301,1.0926418135988314,67.07554338524248
1200,37.84240648411871,25.850064317519085,5.745312269803442,69.93950069843399
1300,41.67353709897414,24.501408645725398,11.251020078298406,72.09605411964986
1400,45.069209730987986,23.217850901020118,16.24044015152842,73.89797931044755
1500,48.14956471657084,21.97097785277277,20.868992511450607,75.43013692169109
1600,50.916569512041264,20.72407150925284,25.184236022801617,76.64890300128091
1700,53.3954028125746,19.55058203162964,29.120148959970624,77.67065666517858
1800,55.60164936054986,18.596871551573553,32.51058347574116,78.69271524535856
1900,57.63026469962889,17.715852463116747,35.6331284986873,79.62740090057048
2000,59.46890964548472,16.89337160364373,38.49301831696248,80.44480097400697
2100,61.11961798355659,16.123684185386157,41.099419812155176,81.139816154958
2200,62.673558339760156,15.460597299137365,43.4766912826949,81.87042539682541
2300,64.03292009576913,14.834243987242798,45.613773396239054,82.4520667952992
2400,65.33276839816862,14.224049960535503,47.67127765351999,82.99425914281727
2500,66.51367217921468,13.634217690902295,49.58455492874841,83.44278942968094
2600,67.6025396150429,13.151745725754981,51.27249043384268,83.93258879624312
2700,68.64012452782463,12.71559208397265,52.85163162131098,84.42861743433826
2800,69.60130447823934,12.31479494756539,54.310466946585755,84.89214200989292
2900,70.49683285200618,11.925919072388789,55.68884849432936,85.304817209683
3000,71.34857336844276,11.54589641749812,57.0124494598455,85.68469727704002
3100,72.14095590249015,11.198820753184972,58.235783350923185,86.04612845405711
3200,72.8845831166943,10.855200364723428,59.40607163052883,86.36309460285977
3300,73.59763158499891,10.52088991143617,60.5342213529034,86.66104181709441
3400,74.26020870718753,10.217320633507113,61.57372951845725,86.94668789591782
3500,74.89782800216085,9.93800930563537,62.5581596335394,87.2374963707823
3600,75.49096640827597,9.670675595669676,63.483236682825165,87.49869613372677
3700,76.0610913967035,9.429077989647814,64.35334472070227,87.76883807270474
3800,76.59000950538424,9.210396807092765,65.15379138084624,88.02622762992225
3900,77.09439053082836,8.99305558676167,65.92803717490115,88.26074388675558
4000,77.58489668563323,8.770186279261578,66.69527212513349,88.47452124613297
4100,78.04089596162343,8.561538296708262,67.41034208935798,88.67144983388889
4200,78.47853083815701,8.368117201145868,68.08814097674453,88.8689206995695
4300,78.90212363323403,8.175217450244892,68.75125044777775,89.0529968186903
4400,79.28887306342035,8.000182298960748,69.35533472373375,89.22241140310696
4500,79.66790018360237,7.827997935829124,69.94815696866995,89.38764339853479
4600,80.01307401429526,7.652942667495137,70.51069062374904,89.51545740484147
4700,80.36753704285103,7.485062316826657,71.07360463973569,89.66146944596636
4800,80.7084593272833,7.3358942455879745,71.59974354790653,89.81717510666006
4900,81.02190891463275,7.190304521322551,72.09396665438477,89.94985117488072
