iteration,mean,std,low,up
0,0.1831889304,0.35810857606565805,-0.26146159594874263,0.6278394567487426
50,14.1391545,2.794967087474377,10.668744491318629,17.60956450868137
100,24.077091600000003,5.586519870378097,17.140511001701547,31.01367219829846
150,35.5893052,8.12432250683309,25.501626433468775,45.676983966531225
200,44.53439279999999,11.149729102391644,30.69017558383549,58.378610016164494
250,51.79620339999999,13.270288998275994,35.31896330508116,68.27344349491881
300,61.14424140000001,15.406338583614204,42.01474543658865,80.27373736341139
350,70.40554139999999,17.062209945448004,49.22000958094296,91.59107321905702
400,78.065693,18.156019975322103,55.522016645974105,100.60936935402589
450,85.97756919999999,18.77414581051222,62.6663882500589,109.28875014994108
500,93.2808972,20.560929957574132,67.7511307020909,118.81066369790909
550,101.762291,23.620359006772475,72.43374159664255,131.09084040335748
600,107.6619562,25.632614246489716,75.83486191028877,139.48905048971125
650,114.44597200000001,25.714384291237064,82.51734678959447,146.37459721040554
700,121.73004599999999,26.578521394373695,88.7284528591176,154.73163914088238
750,127.9463508,28.245596391556916,92.87481065280957,163.01789094719044
800,134.07880600000001,29.126215053025334,97.91383336471785,170.24377863528218
850,140.455652,30.701808913361603,102.33432119254738,178.5769828074526
900,148.48254500000002,32.10847162629202,108.61461174428607,188.35047825571397
950,154.63460800000001,32.6888757590999,114.04600782816985,195.22320817183018
1000,159.92652600000002,34.13572981085771,117.54141924144693,202.31163275855312
1050,165.67382800000001,35.55500935493718,121.52645292817641,209.82120307182362
1100,172.13402200000002,36.54591300907285,126.75627753514758,217.51176646485246
1150,177.923388,38.534439631035525,130.07656161918675,225.77021438081323
1200,184.232704,39.54112701041638,135.13591014276346,233.32949785723656
1250,190.09004,40.32444278089594,140.0206311513337,240.15944884866627
1300,195.078774,41.89969765338206,143.05342788817268,247.10412011182734
1350,200.306834,43.706624318943675,146.03789210015043,254.5757758998496
1400,205.34709400000003,45.37551579426706,149.00594963833223,261.6882383616678
1450,209.442162,46.33994998255252,151.9035144281013,266.9808095718987
1500,214.010108,48.31452496459394,154.0197017611466,274.0005142388534
1550,218.47749199999998,49.1118369708726,157.49709214761475,279.4578918523852
1600,224.476464,49.98043763547924,162.41755397355683,286.53537402644315
1650,228.430564,52.161477118265466,163.66353576912024,293.19759223087976
1700,233.28222799999998,52.520288401069045,168.06967671711368,298.49477928288627
1750,237.62312000000003,54.02995453300231,170.53607063178467,304.71016936821536
1800,242.43718200000004,55.24885872979794,173.83666317336406,311.037700826636
1850,247.675466,57.39001632384269,176.41634887435805,318.93458312564195
1900,252.308934,57.56656505599827,180.83060266971196,323.78726533028805
1950,256.512624,59.276591441649465,182.91101447067038,330.1142335293297
2000,260.094094,60.45783915930281,185.0257717066998,335.16241629330017
2050,263.34575,60.88920476002706,187.741816570217,338.949683429783
2100,268.179468,62.409352086683036,190.68802236274254,345.6709136372574
2150,272.540454,64.38210936069338,192.59950667840934,352.4814013215907
2200,276.87751399999996,65.50136625962415,195.54682568226576,358.20820231773416
2250,280.874412,67.43949294598468,197.13722155185394,364.6116024481461
2300,285.84895,67.32760838757976,202.25068257998026,369.44721742001974
2350,289.02822399999997,69.3463952489582,202.92330161415987,375.13314638584006
2400,294.042576,70.43316678936945,206.58824851815876,381.49690348184123
2450,298.433982,71.78927848280041,209.29581945088245,387.5721445491176
2500,302.48700799999995,71.74375344115485,213.40537225611038,391.56864374388954
2550,307.095654,72.6466911508892,216.89287300931278,397.29843499068727
2600,311.067776,74.13924510243295,219.01174450230405,403.1238074976959
2650,314.887886,75.85782812793242,220.69795183161727,409.0778201683827
2700,318.478516,76.44596995352097,223.55830730094618,413.39872469905384
2750,322.2001,77.66640088781733,225.76452614753617,418.63567385246387
2800,326.67300000000006,79.41440240036185,228.06699560060397,425.2790043993962
2850,331.49711799999994,82.56659372155042,228.97715112163365,434.01708487836623
2900,335.53398200000004,84.61804661571857,230.4667999189342,440.60116408106586
2950,338.240236,85.68554370395411,231.84758121628477,444.6328907837152
3000,343.344726,85.7628700454024,236.8560578819956,449.8333941180043
3050,346.85982,85.91481233807474,240.18249060737986,453.53714939262017
3100,351.29629,86.4078230297787,244.0068069807615,458.5857730192385
3150,355.45912799999996,87.69435536323375,246.57220409978524,464.34605190021466
3200,359.109914,88.7672457907771,248.89082068188725,469.32900731811276
3250,362.21352800000005,89.84454534607494,250.65679060879307,473.77026539120703
3300,365.628958,91.0448389660958,252.58185923353943,478.6760567664606
3350,369.860494,92.79318364268403,254.64253859216862,485.0784494078314
3400,372.83286200000003,93.98336669836752,256.1370991406543,489.52862485934577
3450,377.408592,95.00337575702177,259.44632061468155,495.37086338531844
3500,381.70229,95.13139279068766,263.5810644728218,499.8235155271782
3550,385.399372,95.48389781201209,266.84045367865724,503.9582903213428
3600,389.19359999999995,96.74325523605226,269.07098290435584,509.31621709564405
3650,392.500484,97.81708850110358,271.044526799068,513.9564412009319
3700,395.934034,98.63719353642306,273.45978190196627,518.4082860980337
3750,398.95259,100.01010775676853,274.7736397419412,523.1315402580587
3800,402.627884,101.74517897634232,276.294558274277,528.961209725723
3850,405.440822,102.01552011614713,278.771823413748,532.109820586252
3900,408.36943600000006,103.73031769099462,279.57123500085277,537.1676369991474
3950,412.11874800000004,105.0806001796648,281.643949847266,542.593546152734
4000,414.754886,105.12432594879967,284.2257951339375,545.2839768660625
4050,418.095416,106.16050680990872,286.2797366630706,549.9110953369294
4100,421.61767399999997,107.62400022051719,287.9848275835095,555.2505204164904
4150,424.46558000000005,110.05115438720033,287.8190236366489,561.1121363633512
4200,427.427934,113.08223548369449,287.017793363496,567.838074636504
4250,431.63979199999994,113.5156847538426,290.69145300970536,572.5881309902945
4300,434.77773400000007,114.09387827666428,293.11147292842327,576.4439950715769
4350,438.444922,115.20992360084142,295.3929076290288,581.4969363709713
4400,441.98817800000006,116.03074206959734,297.9169828873139,586.0593731126862
4450,444.982468,117.51917303155484,299.06314174803936,590.9017942519606
4500,448.186186,118.6006998478339,300.9239668371738,595.4484051628262
4550,451.914992,120.02134635309325,302.8888072174192,600.9411767825808
4600,455.03818199999995,121.31509230132461,304.40559945067827,605.6707645493216
4650,458.309576,122.9208722625549,305.6831542837816,610.9359977162184
4700,460.33320199999997,123.87533114288847,306.5216630543055,614.1447409456944
4750,463.19535800000006,125.02532197057889,307.95591684529785,618.4347991547022
4800,465.98154400000004,126.13720500838313,309.3615177070429,622.6015702929571
4850,469.97959000000003,126.042026725403,313.4777431544302,626.4814368455699
4900,473.04307,127.55906589508442,314.6575702335718,631.4285697664282
4950,475.55595800000003,128.013386370515,316.60634485558285,634.5055711444172
4999,477.96201600000006,129.24539950387975,317.4826565025696,638.4413754974305
