iteration,ReturnMean_mean,ReturnMean_std,ReturnMean_low,ReturnMean_up,RiverSwim_mu1_actor_mean,RiverSwim_mu1_actor_std,RiverSwim_mu1_actor_low,RiverSwim_mu1_actor_up,CumRegret_mean,CumRegret_std,CumRegret_low,CumRegret_up,PerStepRegret_mean,PerStepRegret_std,PerStepRegret_low,PerStepRegret_up,GridSize_mean,GridSize_std,GridSize_low,GridSize_up
0,0.11017442699999999,0.058288597142093695,0.0684772764961159,0.15187157750388408,0.00596162514,0.0023197246528220312,0.004302194089695327,0.007621056190304673,2.259825573,0.0582885971420937,2.218128422496116,2.301522723503884,2.259825573,0.0582885971420937,2.218128422496116,2.301522723503884,1.0,1e-10,0.9999999999284643,1.0000000000715357
25,1.1813953739999998,0.15505976276956365,1.070472301867425,1.2923184461325747,0.46674195765000004,0.4111036157362499,0.17265614707100108,0.760827768228999,30.903720276,4.031553829508658,28.019720402341445,33.78772014965856,1.188604626,0.15505976276956365,1.0776815538674251,1.299527698132575,3.0,1e-10,2.9999999999284643,3.0000000000715357
50,1.153601864,0.128843393360268,1.0614328527733685,1.2457708752266317,0.5123896233,0.4114944230959432,0.2180242459773475,0.8067550006226526,62.036304936,6.57101305637367,57.33568536701858,66.73692450498143,1.2163981360000002,0.128843393360268,1.1242291247733687,1.3085671472266318,3.0,1e-10,2.9999999999284643,3.0000000000715357
75,1.2197841699999998,0.11431382390012829,1.138008986627197,1.3015593533728027,0.7041052363000001,0.415643327536046,0.4067719115339827,1.0014385610660175,87.41640308000001,8.687850608909754,81.20148914903216,93.63131701096786,1.15021583,0.11431382390012829,1.0684406466271972,1.231991013372803,3.0,1e-10,2.9999999999284643,3.0000000000715357
100,1.041387425,0.08860422616977633,0.9780037799128668,1.104771070087133,0.510728386,0.320912467026318,0.2811614365064463,0.7402953354935538,134.189870075,8.949026833147407,127.7881219283531,140.59161822164685,1.3286125750000002,0.08860422616977638,1.265228929912867,1.3919962200871334,4.0,1e-10,3.9999999999284643,4.000000000071536
125,0.8816203739999999,0.06727225194198494,0.8334967039943196,0.9297440440056802,0.41763361690000006,0.3465051664512979,0.16975875313081856,0.6655084806691816,187.535832876,8.476303732190107,181.47225046422625,193.59941528777375,1.488379626,0.0672722519419849,1.4402559559943198,1.5365032960056801,4.0,1e-10,3.9999999999284643,4.000000000071536
150,0.9088038430000001,0.05950843056005352,0.8662340762364666,0.9513736097635335,0.5020944468599999,0.4750402426844046,0.16227112865032522,0.8419177650696746,220.64061970700004,8.985772999568072,214.21258493643685,227.06865447756323,1.4611961570000003,0.05950843056005354,1.4186263902364669,1.5037659237635337,4.0,1e-10,3.9999999999284643,4.000000000071536
175,0.948756103,0.060021012001108605,0.9058196575627447,0.9916925484372553,0.5190967453299999,0.5013159713240166,0.160476903179043,0.8777165874809569,250.138925872,10.563698094695097,242.58211148756183,257.69574025643817,1.421243897,0.06002101200110847,1.378307451562745,1.4641803424372553,4.0,1e-10,3.9999999999284643,4.000000000071536
200,0.9720288149999998,0.07812140790760576,0.9161441263505562,1.0279135036494436,0.53895802613,0.4866476157113274,0.19083129346554845,0.8870847587944515,280.992208185,15.702402969428752,269.7593857807689,292.22503058923104,1.3979711849999998,0.0781214079076058,1.342086496350556,1.4538558736494436,4.0,1e-10,3.9999999999284643,4.000000000071536
225,0.9940124889999999,0.07520314105883591,0.9402154026942362,1.0478095753057637,0.8124935477000002,0.30209683918278624,0.5963864875241505,1.0286006078758498,310.97317748600005,16.995909856796906,298.815035996993,323.1313189750071,1.375987511,0.0752031410588359,1.3221904246942362,1.4297845973057637,4.0,1e-10,3.9999999999284643,4.000000000071536
250,1.011771311,0.08452548457232474,0.9513054218821998,1.0722372001178,0.6325379958999999,0.4226824645089769,0.3301691758884503,0.9349068159115496,340.915400939,21.215896602653515,325.7384627883161,356.0923390896839,1.3582286890000002,0.08452548457232474,1.2977627998822001,1.4186945781178002,4.0,1e-10,3.9999999999284643,4.000000000071536
275,0.998716894,0.08431379017534642,0.9384024419310297,1.0590313460689702,0.22986130710000002,0.3194226610441433,0.0013601006043244823,0.4583625135956756,378.474137256,23.270606060895606,361.8273485046366,395.12092600736344,1.371283106,0.08431379017534642,1.3109686539310297,1.4315975580689702,5.0,1e-10,4.999999999928464,5.000000000071536
300,0.974725198,0.09225407950345293,0.9087306051249073,1.0407197908750927,0.395990457,0.3480919101428149,0.1469805051731152,0.6450004088268848,419.977715402,27.768477900539327,400.1133429680578,439.8420878359422,1.395274802,0.09225407950345285,1.3292802091249074,1.4612693948750928,5.0,1e-10,4.999999999928464,5.000000000071536
