iteration,ReturnMean_mean,ReturnMean_std,ReturnMean_low,ReturnMean_up,RiverSwim_mu1_actor_mean,RiverSwim_mu1_actor_std,RiverSwim_mu1_actor_low,RiverSwim_mu1_actor_up,CumRegret_mean,CumRegret_std,CumRegret_low,CumRegret_up,PerStepRegret_mean,PerStepRegret_std,PerStepRegret_low,PerStepRegret_up,GridSize_mean,GridSize_std,GridSize_low,GridSize_up
0,0.11017442699999999,0.0582885971420937,0.0684772764961159,0.15187157750388408,0.005961625140000001,0.002319724652822031,0.004302194089695328,0.007621056190304674,2.259825573,0.05828859714209364,2.218128422496116,2.301522723503884,2.259825573,0.05828859714209364,2.218128422496116,2.301522723503884,20.0,1e-10,19.999999999928463,20.000000000071537
25,0.950552761,0.20159015079070577,0.8063438544598482,1.0947616675401517,0.3333408658,0.3817648573100063,0.060242738673288665,0.6064389929267113,36.905628214000004,5.241343918058352,33.15619664574445,40.655059782255556,1.4194472390000001,0.20159015079070589,1.2752383324598484,1.5636561455401519,20.0,1e-10,19.999999999928463,20.000000000071537
50,0.8390251980000001,0.11506670718089765,0.7567114343729225,0.9213389616270776,0.6355305107,0.3850944349693576,0.36005054720076635,0.9110104741992336,78.079714902,5.868402061225787,73.88171296059583,82.27771684340418,1.5309748020000005,0.11506670718089768,1.4486610383729228,1.6132885656270781,20.0,1e-10,19.999999999928463,20.000000000071537
75,0.847308709,0.09955530349073903,0.7760911351236957,0.9185262828763043,0.5716420361,0.3758965830377786,0.30274181949995055,0.8405422527000495,115.724538116,7.566203057796168,110.31200250676605,121.13707372523396,1.522691291,0.09955530349073909,1.4514737171236956,1.5939088648763042,20.0,1e-10,19.999999999928463,20.000000000071537
100,0.8350941860000001,0.08618963882771463,0.7734378326430364,0.8967505393569637,0.33533497984999994,0.40884540406548414,0.04286459658478603,0.6278053631152138,155.025487214,8.705153511599176,148.79819553210027,161.25277889589975,1.534905814,0.08618963882771466,1.4732494606430364,1.5965621673569637,20.0,1e-10,19.999999999928463,20.000000000071537
125,0.822701683,0.06201544317681952,0.7783385074477529,0.8670648585522471,0.2821106933,0.34900592025814364,0.03244689802500422,0.5317744885749958,194.95958794200004,7.8139458277792615,189.36982783135886,200.54934805264122,1.547298317,0.06201544317681953,1.502935141447753,1.5916614925522472,20.0,1e-10,19.999999999928463,20.000000000071537
150,0.844869896,0.059740514856166216,0.8021341061324793,0.8876056858675206,0.34901080640000004,0.41883528152609906,0.0493940953037153,0.6486275174962848,230.294645704,9.020817728281111,223.84154144473473,236.74774996326528,1.525130104,0.059740514856166264,1.4823943141324794,1.5678658938675207,20.0,1e-10,19.999999999928463,20.000000000071537
175,0.8565843529999999,0.06289407509851902,0.8115926420347747,0.9015760639652252,0.6146392521,0.40330394909443656,0.3261329869173502,0.9031455172826499,266.36115387200005,11.06935719983934,258.44261275463913,274.27969498936096,1.513415647,0.06289407509851902,1.4684239360347746,1.5584073579652253,20.0,1e-10,19.999999999928463,20.000000000071537
200,0.852567076,0.056785857208255824,0.8119449208856375,0.8931892311143625,0.7821950993000001,0.38574305922654567,0.5062511379590187,1.0581390606409815,305.004017724,11.413957278859426,296.8389645603203,313.1690708876797,1.517432924,0.05678585720825581,1.4768107688856376,1.5580550791143624,20.0,1e-10,19.999999999928463,20.000000000071537
225,0.8695017329999999,0.0654459448029394,0.8226845244186264,0.9163189415813734,0.7254689356999999,0.3643847161979203,0.4648038125442496,0.9861340588557503,339.11260834200004,14.790783502964311,328.5319192187051,349.69329746529496,1.500498267,0.06544594480293939,1.4536810584186264,1.5473154755813736,20.0,1e-10,19.999999999928463,20.000000000071537
250,0.868851144,0.05782557546895439,0.8274852192476018,0.9102170687523982,0.7807866390000001,0.32568368673528475,0.5478065645378201,1.0137667134621802,376.788362856,14.514219417707551,366.40551576103195,387.17120995096803,1.501148856,0.05782557546895439,1.4597829312476018,1.542514780752398,20.0,1e-10,19.999999999928463,20.000000000071537
275,0.8835050649999999,0.06309713262440879,0.8383680954313237,0.9286420345686761,0.44379248120000003,0.4328016646820035,0.13418482146195937,0.7534001409380406,410.27260206,17.414808576836847,397.81479847871765,422.73040564128235,1.486494935,0.06309713262440883,1.4413579654313238,1.5316319045686764,20.0,1e-10,19.999999999928463,20.000000000071537
300,0.883856986,0.074664312794097,0.8304453542145397,0.9372686177854602,0.3680502043,0.3482321258142804,0.11893994822420953,0.6171604603757905,447.329047214,22.473958121023195,431.2521460680372,463.40594835996285,1.486143014,0.074664312794097,1.4327313822145398,1.5395546457854603,20.0,1e-10,19.999999999928463,20.000000000071537
325,0.8910579890000001,0.06695465565009026,0.8431615136950317,0.9389544643049685,0.5243842309000001,0.4264314076065371,0.21933357855358754,0.8294348832464127,482.1350955860001,21.82721770942942,466.5208446598295,497.7493465121707,1.4789420110000002,0.06695465565009025,1.4310455356950318,1.5268384863049687,20.0,1e-10,19.999999999928463,20.000000000071537
350,0.890146964,0.0707764758463577,0.8395165232243227,0.9407774047756774,0.5746583134,0.43388249043982213,0.26427747749197233,0.8850391493080276,519.4284156360002,24.842542987071525,501.6571309487749,537.1997003232254,1.4798530360000002,0.07077647584635763,1.429222595224323,1.5304834767756774,20.0,1e-10,19.999999999928463,20.000000000071537
375,0.8909975509999999,0.06947536112561005,0.8412978716252458,0.940697230374754,0.4161258876800001,0.40386140065924,0.12722084567073405,0.7050309296892661,556.104920824,26.122735745729365,537.4178414059185,574.7920002420816,1.479002449,0.06947536112561,1.429302769625246,1.528702128374754,20.0,1e-10,19.999999999928463,20.000000000071537
400,0.888758056,0.06059099524805633,0.8454138691107634,0.9321022428892366,0.5726885178,0.44917991486735154,0.2513645636844516,0.8940124719155483,593.9780195440001,24.2969890544706,576.5970006300305,611.3590384579696,1.4812419440000002,0.060590995248056334,1.4378977571107636,1.5245861308892368,20.0,1e-10,19.999999999928463,20.000000000071537
425,0.903806638,0.055153822260551565,0.8643519703562338,0.9432613056437663,0.741398692,0.3359572139976204,0.501069378862216,0.9817280051377839,624.5983722120001,23.495528240495,607.7906838261583,641.4060605978418,1.466193362,0.05515382226055157,1.4267386943562337,1.5056480296437664,20.0,1e-10,19.999999999928463,20.000000000071537
450,0.9035384939999999,0.05621163136859093,0.8633271153056181,0.9437498726943816,0.27224388889,0.33693035575027724,0.031218432078982228,0.5132693457010178,661.374139206,25.351445702234532,643.2388074470249,679.5094709649751,1.466461506,0.05621163136859094,1.426250127305618,1.5066728846943818,20.0,1e-10,19.999999999928463,20.000000000071537
475,0.905344131,0.04899360617530117,0.8702962164749777,0.9403920455250223,0.3991993,0.3316989613910332,0.16191615727162875,0.6364824427283712,697.176193644,23.320956491943363,680.4933863640689,713.8590009239311,1.464655869,0.04899360617530117,1.4296079544749778,1.4997037835250222,20.0,1e-10,19.999999999928463,20.000000000071537
